sample	reference	haplotype	total_reads_used	count_reads	pass_threshold	base	mod_code	pass_count	pass_frac	all_count	all_frac
T2T16	ref	hp1	100420	100420	0.7050781	C	m	8451208	0.7782382	9060582	0.7509524
T2T16	ref	hp2	100420	100420	0.7050781	C	-	2092999	0.188309	2333532	0.18917286
T2T16	ref	hp2	100420	100420	0.7050781	C	h	372678	0.033530176	728368	0.05904674
T2T16	ref	hp2	100420	100420	0.7050781	C	m	8649028	0.7781608	9273548	0.7517804
T2T17	ref	combined	66299	66299	0.7402344	C	-	12797459	0.19739969	14461812	0.2008316
T2T17	ref	combined	66299	66299	0.7402344	C	h	1738500	0.026816212	3613200	0.050176617
T2T17	ref	combined	66299	66299	0.7402344	C	m	50294230	0.77578413	53934629	0.7489918
T2T17	ref	hp1	100420	100420	0.6953125	C	-	2195795	0.19902508	2559960	0.20888479
T2T17	ref	hp1	100420	100420	0.6953125	C	h	366052	0.033178657	677369	0.05527121
T2T17	ref	hp1	100420	100420	0.6953125	C	m	8470908	0.7677963	9018039	0.735844
T2T17	ref	hp2	100420	100420	0.71484375	C	-	2010292	0.1826106	2280256	0.18648984
T2T17	ref	hp2	100420	100420	0.71484375	C	h	344040	0.031251855	671492	0.054917708
T2T17	ref	hp2	100420	100420	0.71484375	C	m	8654295	0.7861375	9275492	0.7585924
T2T18	ref	combined	66314	66314	0.7558594	C	-	13630184	0.18680164	15315997	0.18904902
T2T18	ref	combined	66314	66314	0.7558594	C	h	1868533	0.025608242	3994111	0.04930027
T2T18	ref	combined	66314	66314	0.7558594	C	m	57467364	0.78759015	61705899	0.7616507
T2T18	ref	hp1	100420	100420	0.7363281	C	-	1864820	0.16982982	2100156	0.17223099
T2T18	ref	hp1	100420	100420	0.7363281	C	h	329845	0.0300391	669576	0.054911032
T2T18	ref	hp1	100420	100420	0.7363281	C	m	8785857	0.8001311	9424102	0.77285796
T2T18	ref	hp2	100420	100420	0.7421875	C	-	1819800	0.1689206	2038076	0.17030187
T2T18	ref	hp2	100420	100420	0.7421875	C	h	316548	0.029383164	655879	0.054805323
T2T18	ref	hp2	100420	100420	0.7421875	C	m	8636760	0.80169624	9273477	0.7748928
T2T19	ref	combined	66292	66292	0.7480469	C	-	13825285	0.1992804	15406601	0.20004408
T2T19	ref	combined	66292	66292	0.7480469	C	h	1836196	0.026467294	3879553	0.050373316
T2T19	ref	combined	66292	66292	0.7480469	C	m	53714560	0.7742523	57729879	0.74958265
T2T19	ref	hp1	100420	100420	0.7128906	C	-	2031618	0.18680172	2277253	0.18861978
T2T19	ref	hp1	100420	100420	0.7128906	C	h	358700	0.032981485	695974	0.057645973
T2T19	ref	hp1	100420	100420	0.7128906	C	m	8485481	0.7802168	9100019	0.75373423
T2T19	ref	hp2	100420	100420	0.7011719	C	-	2039670	0.18631627	2293577	0.18868205
T2T19	ref	hp2	100420	100420	0.7011719	C	h	379135	0.03463257	715969	0.058899485
T2T19	ref	hp2	100420	100420	0.7011719	C	m	8528548	0.7790512	9146231	0.75241846
