sample	haplotype	pipeline	total	total_unmapped	total_single_sided_mapped	total_mapped	total_dups	total_nodups	cis	trans	cis_1kb	cis_2kb	cis_10kb	cis_40kb	frac_cis	frac_cis_1kb	frac_cis_2kb	frac_cis_10kb	frac_cis_40kb	frac_dups	complexity_naive	convergence_dist	mapping_rate	single_sided_rate	unmapped_rate
T2T04_1	hp1	dip3d	298919075	107117	19881230	278930728	0	278930728	278930728	0	278153291	277369193	272478182	262636152	1.0	0.9972127954292651	0.9944017103773521	0.9768668513280473	0.9415819973767824	0.0	inf	1000	0.9331312429626647	0.06651040921359735	0.000358347823737913
T2T04_1	hp2	dip3d	298286723	104029	19852067	278330627	0	278330627	278330627	0	277555624	276772466	271884003	262049014	1.0	0.9972155310094566	0.9944017623328244	0.9768382514368424	0.9415026180356357	0.0	inf	1000	0.9330976055545054	0.06655363939882769	0.00034875504666696144
T2T04_2	unphased	wf-pore-c	657124913	38392729	181366040	437366144	0	437366144	220082892	217283252	132688610	120635383	116098746	109362405	0.5032005678061812	0.30338107286146043	0.2758224079639781	0.2654497783897969	0.25004771517019847	0.0	inf	7499	0.6655753500552489	0.27599933652188285	0.058425313422868205
T2T04_2	hp1	dip3d	249488179	105831	23661834	225720514	0	225720514	225720514	0	225254111	224864646	222518084	217220403	1.0	0.9979337146113357	0.9962082843741885	0.9858124104750178	0.9623423194933891	0.0	inf	750	0.9047343040649634	0.09484150349263643	0.00042419244240024696
T2T04_2	hp2	dip3d	249922012	103936	23601045	226217031	0	226217031	226217031	0	225751685	225361803	223020548	217734052	1.0	0.9979429223434552	0.9962194358390284	0.985869839304893	0.9625007057934555	0.0	inf	750	0.9051504875048781	0.09443363876247923	0.0004158737326426453
T2T05	unphased	wf-pore-c	809883099	69286422	232541150	508055527	0	508055527	305774574	202280953	167579198	151403385	144036823	133790925	0.6018526671790345	0.3298442573581135	0.29800558591305315	0.2835060644857427	0.26333917827844044	0.0	inf	7499	0.6273195818351063	0.2871292786417315	0.08555113952316222
T2T05	hp1	dip3d	222930772	106080	22853520	199971172	0	199971172	199971172	0	199353651	198737385	194959928	187439211	1.0	0.9969119498884569	0.9938301756815228	0.9749401678757976	0.9373311619136783	0.0	inf	1334	0.8970101803621798	0.10251397685017662	0.00047584278764351115
T2T05	hp2	dip3d	223016550	104267	22739946	200172337	0	200172337	200172337	0	199557883	198941539	195170773	187655192	1.0	0.9969303750497752	0.9938513082354631	0.9750137103110307	0.9374681577504888	0.0	inf	1334	0.8975671850362675	0.10196528463918933	0.00046753032454317854
T2T06	unphased	wf-pore-c	341475295	24246882	102931068	214297345	0	214297345	75596530	138700815	39256537	33226889	32002260	30677964	0.3527646597768162	0.18318722987445318	0.1550503997144715	0.14933577455194325	0.14315606196614336	0.0	inf	13335	0.6275632472914329	0.3014304973365643	0.07100625537200282
T2T06	hp1	dip3d	55279161	29983	11492606	43756572	0	43756572	43756572	0	43542798	43423355	43001258	42116807	1.0	0.9951144710330599	0.9923847553688621	0.9827382730073096	0.9625252864872504	0.0	inf	4217	0.7915563696778972	0.20790123786430115	0.0005423924578015937
T2T06	hp2	dip3d	55275302	28842	11529575	43716885	0	43716885	43716885	0	43502528	43382618	42960229	42074729	1.0	0.9950967000507928	0.992353823928672	0.9826919049698989	0.962436573420087	0.0	inf	5623	0.7908936436023453	0.20858456820371601	0.0005217881939387685
T2T07	unphased	wf-pore-c	827077201	56201537	231175007	539700657	0	539700657	316647082	223053575	183549897	167379962	160129851	149372272	0.5867087206454892	0.3400957449640459	0.31013481237989304	0.29670123414357824	0.27676874219554637	0.0	inf	7499	0.6525396375906147	0.2795083780818666	0.06795198432751866
T2T07	hp1	dip3d	324905976	134561	26689418	298081997	0	298081997	298081997	0	297415665	296767896	292674919	283841093	1.0	0.9977646016642864	0.9955914781394866	0.9818604341945548	0.9522248772373865	0.0	inf	1000	0.9174407952410207	0.0821450510962593	0.0004141536627199495
T2T07	hp2	dip3d	325771777	137513	26891008	298743256	0	298743256	298743256	0	298074441	297427185	293325387	284470622	1.0	0.9977612381649881	0.9955946419757841	0.9818644642475209	0.9522244143981613	0.0	inf	1000	0.9170323431670386	0.08254554230460547	0.0004221145283558434
T2T08	unphased	wf-pore-c	540255081	39994698	164894451	335365932	0	335365932	136581753	198784179	78029656	70206639	67873359	64421770	0.4072618592636297	0.2326701926300612	0.209343383751931	0.20238596864991046	0.19209396021775998	0.0	inf	7499	0.6207547949003	0.3052159189225654	0.07402928617713454
T2T08	hp1	dip3d	152302113	62321	17771621	134468171	0	134468171	134468171	0	134176764	133960838	132720117	129887500	1.0	0.9978328923652869	0.9962271145935345	0.9870002396329165	0.9659349051456942	0.0	inf	750	0.8829041721830871	0.11668663454459098	0.00040919327232183573
T2T08	hp2	dip3d	153536149	61512	17933046	135541591	0	135541591	135541591	0	135248745	135031927	133785730	130951982	1.0	0.99783943808067	0.9962397962408454	0.9870455925222245	0.9661387403959276	0.0	inf	750	0.8827992097157523	0.11680015499151278	0.00040063529273487246
T2T09	unphased	wf-pore-c	702418696	47486508	213740540	441191648	0	441191648	141830988	299360660	81080013	71466921	69030507	65861005	0.32147251345972894	0.18377504054655178	0.16198611493207596	0.1564637665126426	0.14927980912276925	0.0	inf	10000	0.62810350936331	0.30429221377102983	0.06760427686566019
T2T09	hp1	dip3d	138335291	71124	24982958	113281209	0	113281209	113281209	0	112880024	112639600	111564659	109221180	1.0	0.9964585035458088	0.9943361391914524	0.9848470014122113	0.9641597310282943	0.0	inf	750	0.8188887172688276	0.18059714060962218	0.000514142121550169
T2T09	hp2	dip3d	138397034	65219	24471623	113860192	0	113860192	113860192	0	113460532	113221019	112148455	109802207	1.0	0.9964899057960486	0.9943863347780056	0.9849663260711874	0.9643599318715359	0.0	inf	750	0.8227068796864534	0.1768218746653198	0.0004712456482268254
T2T10	unphased	wf-pore-c	661971916	38587812	187589082	435795022	0	435795022	168006028	267788994	98650094	87641562	84624084	80498819	0.38551617048989606	0.22636810660953352	0.2011073040664517	0.19418322772856272	0.184717160445215	0.0	inf	7499	0.6583285657091229	0.28337921513878844	0.05829221915208862
T2T10	hp1	dip3d	159502305	75725	24362353	135064227	0	135064227	135064227	0	134688838	134424171	133049828	130039554	1.0	0.997220663025747	0.995261099002921	0.9850856215243434	0.9627978991061785	0.0	inf	750	0.8467854241981018	0.1527398177725394	0.0004747580293588861
T2T10	hp2	dip3d	160175639	73160	24422414	135680065	0	135680065	135680065	0	135304575	135039728	133670608	130661342	1.0	0.9972325337550509	0.9952805373434925	0.9851897402908821	0.9630106088171464	0.0	inf	750	0.8470705398590606	0.15247271153386815	0.0004567486070712663
T2T11	unphased	wf-pore-c	759082873	47818883	210455127	500808863	0	500808863	276624044	224184819	166837815	153054474	145945703	135650354	0.5523545297160606	0.3331367060890055	0.30561454740069166	0.2914199683402967	0.2708625266482155	0.0	inf	7499	0.6597551872310522	0.277249210179453	0.06299560258949487
T2T11	hp1	dip3d	293224062	118769	25531467	267573826	0	267573826	267573826	0	266917616	266296671	262485010	254487318	1.0	0.9975475553427262	0.9952269060875932	0.9809816375686911	0.9510919726505686	0.0	inf	750	0.9125234272213308	0.08707152757470497	0.00040504520396419583
T2T11	hp2	dip3d	294630762	121262	25670056	268839444	0	268839444	268839444	0	268182562	267562877	263747659	255738162	1.0	0.9975566011064954	0.9952515636061202	0.9810601267275348	0.9512672627012277	0.0	inf	1000	0.9124622363770691	0.08712619084900577	0.0004115727739250798
T2T12	unphased	wf-pore-c	2120470736	139743466	583449682	1397277588	0	1397277588	790526202	606751386	481361119	443570105	424896170	396833315	0.565761741825061	0.34449927711858497	0.3174531022392667	0.30408858887386664	0.28400463759531797	0.0	inf	7499	0.6589468858390319	0.27515101816524196	0.0659020959957261
T2T12	hp1	dip3d	916526999	329688	72915705	843281606	0	843281606	843281606	0	841397695	839693869	828995637	805593304	1.0	0.997765976410969	0.9957455054462554	0.9830590767089493	0.9553075725453449	0.0	inf	562	0.920083758492749	0.07955652706309418	0.0003597144441568164
T2T12	hp2	dip3d	922287670	337235	73470278	848480157	0	848480157	848480157	0	846591644	844882456	834141531	810610022	1.0	0.997774240228932	0.9957598289478914	0.9831008116315912	0.9553670941063622	0.0	inf	562	0.9199734362707028	0.07966091317256795	0.0003656505567292253
T2T13	unphased	wf-pore-c	1922066587	136488899	569051123	1216526565	0	1216526565	693797771	522728794	367314771	329296421	316018807	296634617	0.5703104157039103	0.3019373202096906	0.27068576262450955	0.2597713984157839	0.24383735261876505	0.0	inf	7499	0.6329263373225685	0.29606212752919575	0.07101153514823573
T2T13	hp1	dip3d	655810621	255230	55408483	600146908	0	600146908	600146908	0	598917639	597763624	590545255	574698799	1.0	0.997951719847901	0.9960288323271674	0.9840011622620907	0.9575968672657063	0.0	inf	1000	0.9151222758254169	0.08448854170051631	0.00038918247406670165
T2T13	hp2	dip3d	658013096	257304	55803137	601952655	0	601952655	601952655	0	600725991	599571237	592366792	576550979	1.0	0.9979621918936465	0.9960438450097043	0.9840753871249226	0.9578012061430313	0.0	inf	1000	0.9148034570424416	0.08480551122648174	0.00039103173107667144
T2T15	unphased	wf-pore-c	939671958	62480885	266418813	610772260	0	610772260	331835593	278936667	188900498	171618908	164845805	154979625	0.5433049513414379	0.30928139729201193	0.2809867429146176	0.26989733456460513	0.25374371946754753	0.0	inf	7499	0.6499845555676357	0.2835232133212174	0.06649223111114698
T2T15	hp1	dip3d	360699473	139601	31781041	328778831	0	328778831	328778831	0	328021297	327383056	323543299	315229700	1.0	0.9976959161339679	0.9957546688886426	0.9840758239085046	0.9587895274194219	0.0	inf	562	0.9115034969845937	0.08810947444883015	0.00038702856657625334
T2T15	hp2	dip3d	355323751	141256	31478994	323703501	0	323703501	323703501	0	322951269	322319601	318523829	310269950	1.0	0.9976761697118623	0.9957247913732017	0.983998714922765	0.9585004457520526	0.0	inf	562	0.9110100298361423	0.08859242848643686	0.00039754167742082626
T2T16	unphased	wf-pore-c	816026621	47008556	217173330	551844735	0	551844735	330169074	221675661	208321763	193427656	185110867	172455256	0.5983006687560406	0.37750068051297075	0.3505110110364648	0.33544012520115823	0.3125068430706329	0.0	inf	7499	0.6762582504033284	0.2661351044330697	0.05760664516360184
T2T16	hp1	dip3d	426883836	147318	28426004	398310514	0	398310514	398310514	0	397465832	396678460	391625110	380580378	1.0	0.9978793379277957	0.9959025585751924	0.9832155974672564	0.9554866482886766	0.0	inf	562	0.9330653456740395	0.06658955341658802	0.00034510090937245043
T2T16	hp2	dip3d	427158687	147708	28376242	398634737	0	398634737	398634737	0	397793642	397010953	391984268	380961323	1.0	0.9978900609456922	0.9959266369704254	0.9833168854022875	0.9556651431508338	0.0	inf	562	0.9332239964488888	0.0664302116838373	0.0003457918672739061
T2T17	unphased	wf-pore-c	677525821	49482729	197391797	430651295	0	430651295	246812715	183838580	137913365	124219970	118089889	109776367	0.5731149955093018	0.3202437020420431	0.28844675829896205	0.27421231602240975	0.25490778333779307	0.0	inf	7499	0.6356234429034403	0.2913421022222561	0.0730344548743036
T2T17	hp1	dip3d	245179096	96084	21797530	223285482	0	223285482	223285482	0	222639095	222054766	218633022	211646183	1.0	0.9971051095923917	0.9944881503760284	0.9791636251567847	0.9478725670126641	0.0	inf	1000	0.9107035862470102	0.08890452063662067	0.00039189311636910514
T2T17	hp2	dip3d	244074115	93033	21588408	222392674	0	222392674	222392674	0	221749203	221168193	217763284	210801331	1.0	0.99710659983341	0.9944940587386435	0.9791837117800023	0.9478789350767912	0.0	inf	1000	0.9111686177782515	0.08845021521434177	0.0003811670074067461
T2T18	unphased	wf-pore-c	465684987	33861603	139526209	292297175	0	292297175	161998021	130299154	90132309	81238788	77636033	72510220	0.554223697167104	0.30835846771355213	0.2779321695462845	0.2656065115921835	0.2480702045786108	0.0	inf	7499	0.6276714585175149	0.2996150034787357	0.0727135380037493
T2T18	hp1	dip3d	144288950	62429	14637826	129588695	0	129588695	129588695	0	129249008	128946782	127141816	123324515	1.0	0.9973787296800851	0.9950465355021902	0.9811181137366959	0.9516610611751279	0.0	inf	1000	0.8981193293041497	0.1014480041610948	0.00043266653475543346
T2T18	hp2	dip3d	144071896	63505	14601707	129406684	0	129406684	129406684	0	129067147	128765089	126965177	123142441	1.0	0.9973762019896901	0.9950420258044785	0.9811330688297368	0.951592585433995	0.0	inf	750	0.8982090719483555	0.10135014118228859	0.0004407868693558388
T2T19	unphased	wf-pore-c	673198008	51555868	208031257	413610883	0	413610883	215087949	198522934	108549540	95438664	90764243	84673116	0.520024878068791	0.2624436262717971	0.23074505029404654	0.21944355608263819	0.20471684735626264	0.0	inf	7499	0.6143970690418323	0.30901941854824977	0.07658351240991788
T2T19	hp1	dip3d	185365054	69016	18742241	166553797	0	166553797	166553797	0	166052780	165628402	163243493	158327145	1.0	0.9969918608340103	0.9944438672869164	0.9801247160999877	0.9506066379261231	0.0	inf	1334	0.898517781026838	0.10110989420907783	0.00037232476408417304
T2T19	hp2	dip3d	185989836	72936	18974255	166942645	0	166942645	166942645	0	166440676	166013972	163624282	158703455	1.0	0.9969931649279907	0.9944371733178182	0.9801227361648667	0.950646582842868	0.0	inf	1000	0.8975901511091176	0.10201769842949912	0.00039215046138327687
