sample,repeat_class,repeat_family,count,total_length,mean_length,mean_div
T2T00_2,LINE,I-Jockey,247,29427,119.137651821862,26.748987854251
T2T00_2,LINE,L1,1974965,1057603560,535.504963379098,19.4079837364206
T2T00_2,LINE,L1-Tx1,356,97768,274.629213483146,28.1494382022472
T2T00_2,LINE,L2,1001932,211109068,210.701991751935,29.5050953557726
T2T00_2,LINE,RTE-BovB,11052,1732455,156.754885993485,30.9742399565689
T2T00_2,LINE,RTE-X,26087,5966519,228.716180473033,28.4314332809445
T2T00_2,LTR,DIRS,13467,923080,68.5438479245563,24.4527808717606
T2T00_2,LTR,ERV1,368290,173080606,469.957386841891,15.7254177414537
T2T00_2,LTR,ERVK,21699,18183702,837.997234895617,8.62409788469515
T2T00_2,LTR,ERVL,330958,119979015,362.520365121858,23.147866194502
T2T00_2,LTR,ERVL-MaLR,705266,226380103,320.985419685622,20.2759071045535
T2T00_2,LTR,Gypsy,42174,8887358,210.730734575805,27.8860079669939
T2T00_2,LTR,Unknown,28431,5955370,209.467482677359,27.0756357497098
T2T00_2,Low_complexity,Unknown,213457,14870275,69.6640306947067,19.4154298055346
T2T00_2,PLE,Unknown,1455,129407,88.9395189003436,23.6077663230241
T2T00_2,RC,Helitron,4246,882044,207.735280263778,27.0114225153085
T2T00_2,Retroposon,SVA,89153,18445743,206.89985754826,23.6464033739751
T2T00_2,SINE,5S-Deu-L2,4033,438566,108.744359037937,27.4730473592859
T2T00_2,SINE,Alu,2488571,646172984,259.656238057906,12.9975729042892
T2T00_2,SINE,MIR,1164059,165231717,141.944452128286,28.2542752558075
T2T00_2,SINE,tRNA,3224,406008,125.93300248139,29.4911600496278
T2T00_2,SINE,tRNA-Deu,853,92173,108.057444314185,27.8499413833529
T2T00_2,SINE,tRNA-Deu-L2,14,802,57.2857142857143,22.3857142857143
T2T00_2,SINE,tRNA-RTE,8630,1107860,128.373117033604,31.021819235226
T2T00_2,Satellite,Unknown,66951,126055258,1882.79873340204,14.3911487505788
T2T00_2,Satellite,acro,1608,1545178,960.931592039801,16.4405472636816
T2T00_2,Satellite,centr,5269,187231357,35534.514518884,16.4060922376162
T2T00_2,Satellite,subtelo,428,321077,750.179906542056,10.5539719626168
T2T00_2,Simple_repeat,Unknown,1448584,126390241,87.2508884538279,10.7102517354879
T2T00_2,Unknown,Unknown,91839,15201386,165.522120232145,17.1266586090876
T2T00_2,rRNA,Unknown,5518,3703666,671.197172888728,10.976168901776
T2T00_2,scRNA,Unknown,3784,385325,101.830073995772,10.773810782241
T2T00_2,snRNA,Unknown,10366,942559,90.9279374879413,13.287507235192
T2T00_2,srpRNA,Unknown,4637,630845,136.045934871684,16.5127237437999
T2T00_2,tRNA,Unknown,4181,251888,60.2458741927768,10.4691939727338
T2T01,DNA,Crypton,583,85154,146.061749571184,25.4533447684391
T2T01,DNA,Crypton-A,274,40059,146.200729927007,26.7901459854015
T2T01,DNA,Kolobok,734,121715,165.824250681199,25.0523160762943
T2T01,DNA,MULE-MuDR,6059,2003741,330.704901798977,18.1334378610332
T2T01,DNA,Merlin,446,76296,171.067264573991,21.3078475336323
T2T01,DNA,PIF-Harbinger,733,128575,175.409276944065,26.500272851296
T2T01,DNA,PiggyBac,4877,1071460,219.696534754972,13.0290547467706
T2T01,DNA,TcMar,309,58828,190.381877022654,26.6378640776699
T2T01,DNA,TcMar-Mariner,32965,5807120,176.160169877142,15.1123646291521
T2T01,DNA,TcMar-Pogo,63,7485,118.809523809524,24.552380952381
T2T01,DNA,TcMar-Tc1,1527,261426,171.202357563851,21.9170923379175
T2T01,DNA,TcMar-Tc2,15886,3289794,207.087624323304,24.1720571572454
T2T01,DNA,TcMar-Tigger,247907,74755089,301.544889817553,20.1951792406023
T2T01,DNA,Unknown,15539,2218286,142.75603320677,25.7178068086749
T2T01,DNA,hAT,5455,997326,182.827864344638,26.0663794683776
T2T01,DNA,hAT-Ac,7653,1266667,165.512478766497,25.5251535345616
