sample	modifier	k	tech	haplotype	unique_kmers	total_kmers	qv	error_rate
T2T15		21	NSXPlus	hap1	36836	3024834160	62.3665	5.79901e-07
T2T15		21	NSXPlus	hap2	36449	3006154612	62.3854	5.77374e-07
T2T15		21	NSXPlus	diploid	73285	6030988772	62.3759	5.78642e-07
T2T15		31	NSXPlus	hap1	889540	3024833520	50.2284	9.48777e-06
T2T15		31	NSXPlus	hap2	885814	3006154172	50.2197	9.50674e-06
T2T15		31	NSXPlus	diploid	1775354	6030987692	50.224	9.49722e-06
T2T15		37	NSXPlus	hap1	2043204	3024833136	47.3845	1.82621e-05
T2T15		37	NSXPlus	hap2	2038713	3006153908	47.3671	1.83352e-05
T2T15		37	NSXPlus	diploid	4081917	6030987044	47.3758	1.82986e-05
T2T16		21	NSXPlus	hap1	35484	3009896196	62.5074	5.61389e-07
T2T16		21	NSXPlus	hap2	42175	3036798661	61.7958	6.61337e-07
T2T16		21	NSXPlus	diploid	77659	6046694857	62.1354	6.11585e-07
T2T16		31	NSXPlus	hap1	671027	3009895186	51.4313	7.1924e-06
T2T16		31	NSXPlus	hap2	690002	3036797231	51.3488	7.33028e-06
T2T16		31	NSXPlus	diploid	1361029	6046692417	51.3896	7.26165e-06
T2T16		37	NSXPlus	hap1	1628246	3009894580	48.3492	1.46245e-05
T2T16		37	NSXPlus	hap2	1653786	3036796373	48.3202	1.47223e-05
T2T16		37	NSXPlus	diploid	3282032	6046690953	48.3346	1.46736e-05
T2T17		21	NSXPlus	hap1	21078	2928729690	64.6507	3.42714e-07
T2T17		21	NSXPlus	hap2	21520	3015424385	64.6872	3.39841e-07
T2T17		21	NSXPlus	diploid	42598	5944154075	64.6692	3.41257e-07
T2T17		31	NSXPlus	hap1	476570	2928728920	52.7988	5.24953e-06
T2T17		31	NSXPlus	hap2	516363	3015423985	52.5772	5.52435e-06
T2T17		31	NSXPlus	diploid	992933	5944152905	52.685	5.38894e-06
T2T17		37	NSXPlus	hap1	1219091	2928728458	49.4876	1.12524e-05
T2T17		37	NSXPlus	hap2	1313101	3015423745	49.2916	1.17717e-05
T2T17		37	NSXPlus	diploid	2532192	5944152203	49.387	1.15158e-05
T2T18		21	NSXPlus	hap1	18040	2936693724	65.3384	2.92523e-07
T2T18		21	NSXPlus	hap2	21049	3031583409	64.8066	3.30631e-07
T2T18		21	NSXPlus	diploid	39089	5968277133	65.0601	3.1188e-07
T2T18		31	NSXPlus	hap1	471348	2936693224	52.8584	5.17792e-06
T2T18		31	NSXPlus	hap2	515047	3031582969	52.6115	5.48089e-06
T2T18		31	NSXPlus	diploid	986395	5968276193	52.7313	5.33181e-06
T2T18		37	NSXPlus	hap1	1203223	2936692924	49.5563	1.10757e-05
T2T18		37	NSXPlus	hap2	1294056	3031582705	49.3783	1.15391e-05
T2T18		37	NSXPlus	diploid	2497279	5968275629	49.465	1.13111e-05
T2T19		21	NSXPlus	hap1	20698	2927455989	64.7278	3.36682e-07
T2T19		21	NSXPlus	hap2	23575	3011250614	64.2851	3.7281e-07
T2T19		21	NSXPlus	diploid	44273	5938706603	64.4977	3.55001e-07
T2T19		31	NSXPlus	hap1	435268	2927455619	53.1906	4.79663e-06
T2T19		31	NSXPlus	hap2	472652	3011250224	52.9553	5.06368e-06
T2T19		31	NSXPlus	diploid	907920	5938705843	53.0697	4.93204e-06
T2T19		37	NSXPlus	hap1	1124580	2927455397	49.8362	1.03844e-05
T2T19		37	NSXPlus	hap2	1202882	3011249990	49.6664	1.07984e-05
T2T19		37	NSXPlus	diploid	2327462	5938705387	49.7493	1.05943e-05
T2T00	trio	21	NSXPlus	diploid	657517	6008570756	52.8306	5.21122e-06
T2T00	trio	31	NSXPlus	diploid	1351250	6008563336	51.3935	7.25522e-06
T2T00	trio	37	NSXPlus	diploid	3077206	6008558884	48.5871	1.3845e-05
T2T00	apk_polished	21	NSXPlus	diploid	1669093	6010687449	48.7861	1.3225e-05
T2T00	apk_polished	31	NSXPlus	diploid	2119335	6010679969	49.4401	1.1376e-05
T2T00	apk_polished	37	NSXPlus	diploid	2893480	6010675481	48.856	1.30136e-05
T2T03	apk_polished	21	NSXPlus	diploid	1584328	6129302725	49.0973	1.23103e-05
T2T03	apk_polished	31	NSXPlus	diploid	3191140	6129296315	47.7472	1.6799e-05
T2T03	apk_polished	37	NSXPlus	diploid	4713192	6129292469	46.8213	2.07905e-05
T2T04	apk_polished	21	NSXPlus	diploid	2270705	6046672480	47.475	1.78856e-05
T2T04	apk_polished	31	NSXPlus	diploid	4470642	6046662730	46.2235	2.38588e-05
T2T04	apk_polished	37	NSXPlus	diploid	6006347	6046656880	45.709	2.68598e-05
T2T04	trio	21	NSXPlus	diploid	300493	6043276692	56.2565	2.36784e-06
T2T04	trio	31	NSXPlus	diploid	2467300	6043267032	48.8033	1.31727e-05
T2T04	trio	37	NSXPlus	diploid	5132696	6043261236	46.3895	2.29642e-05
