metric	value	haplotype	asm_method	asm_name	source
Number of bases in mapped sequences	6100123645	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of mapped bases	6048738830	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of substitutions	8121947	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of insertions in [0,50)	734610	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of insertions in [50,100)	7278	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of insertions in [100,300)	7076	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of insertions in [300,400)	3873	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of insertions in [400,1000)	3439	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of insertions in [1000,inf)	5060	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of deletions in [0,50)	866546	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of deletions in [50,100)	7287	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of deletions in [100,300)	6756	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of deletions in [300,400)	4007	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of deletions in [400,1000)	4584	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of deletions in [1000,inf)	4711	NA	unphased_verkko	TUE_02_05UL_01DX	stat
Number of mapped sequences	967	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of primary alignments	26650	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of secondary alignments	16684	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of bases in mapped sequences	6085588958	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of mapped bases	6033949356	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of substitutions	8144522	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of insertions in [0,50)	729272	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of insertions in [50,100)	7280	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of insertions in [100,300)	7039	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of insertions in [300,400)	3869	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of insertions in [400,1000)	3456	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of insertions in [1000,inf)	5147	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of deletions in [0,50)	866875	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of deletions in [50,100)	7283	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of deletions in [100,300)	6723	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of deletions in [300,400)	3989	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of deletions in [400,1000)	4710	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of deletions in [1000,inf)	4755	NA	unphased_verkko	TUE_02_06UL_01DX	stat
Number of mapped sequences	19296	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of primary alignments	44836	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of secondary alignments	37940	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of bases in mapped sequences	6705589813	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of mapped bases	6660663256	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of substitutions	8992498	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of insertions in [0,50)	863172	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of insertions in [50,100)	7731	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of insertions in [100,300)	8194	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of insertions in [300,400)	4524	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of insertions in [400,1000)	4102	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of insertions in [1000,inf)	5198	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of deletions in [0,50)	948620	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of deletions in [50,100)	7682	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of deletions in [100,300)	7334	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of deletions in [300,400)	4416	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of deletions in [400,1000)	7787	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of deletions in [1000,inf)	5195	NA	unphased_verkko	TUE_02_01UL_02DX	stat
Number of mapped sequences	3912	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of primary alignments	31939	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of secondary alignments	34378	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of bases in mapped sequences	6369204196	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of mapped bases	6318984856	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of substitutions	8707000	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of insertions in [0,50)	795601	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of insertions in [50,100)	7630	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of insertions in [100,300)	7798	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of insertions in [300,400)	4598	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of insertions in [400,1000)	4022	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of insertions in [1000,inf)	5380	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of deletions in [0,50)	916159	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of deletions in [50,100)	7629	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of deletions in [100,300)	7083	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of deletions in [300,400)	4498	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of deletions in [400,1000)	6982	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of deletions in [1000,inf)	5166	NA	unphased_verkko	TUE_02_02UL_02DX	stat
Number of mapped sequences	3083	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of primary alignments	31988	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of secondary alignments	40078	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of bases in mapped sequences	6296562967	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of mapped bases	6245731520	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of substitutions	8714898	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of insertions in [0,50)	783232	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of insertions in [50,100)	7735	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of insertions in [100,300)	7731	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of insertions in [300,400)	4689	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of insertions in [400,1000)	4022	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of insertions in [1000,inf)	5526	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of deletions in [0,50)	909181	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of deletions in [50,100)	7603	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of deletions in [100,300)	7358	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of deletions in [300,400)	4703	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of deletions in [400,1000)	7768	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of deletions in [1000,inf)	5433	NA	unphased_verkko	TUE_02_03UL_02DX	stat
Number of mapped sequences	2887	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of primary alignments	30861	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of secondary alignments	52041	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of primary alignments with >65535 CIGAR operations	0	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of bases in mapped sequences	6266104028	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of mapped bases	6215165221	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of substitutions	8561821	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of insertions in [0,50)	779390	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of insertions in [50,100)	7736	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of insertions in [100,300)	7686	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of insertions in [300,400)	4455	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of insertions in [400,1000)	4060	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of insertions in [1000,inf)	5442	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of deletions in [0,50)	919452	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of deletions in [50,100)	7718	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of deletions in [100,300)	7178	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of deletions in [300,400)	4452	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of deletions in [400,1000)	5352	NA	unphased_verkko	TUE_02_04UL_02DX	stat
Number of deletions in [1000,inf)	5380	NA	unphased_verkko	TUE_02_04UL_02DX	stat
