n_UL	n_DX	sample	asm_name	metric	value	haplotype	asm_method	source	chromosome
3	0	TUE_02	TUE_02_03UL	NG75	172121340	both	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	NG50	192037092	both	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	NGA50	6368748	both	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	Average Ungapped Alignment length	7183466	both	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	Number of Breaks in Assembly	26495	both	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	Assembly Length	2934985356	haplotype1	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	% of Ref covered by Assembly	0.9002	haplotype1	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	% of Ref duplicated in Assembly	0.0098	haplotype1	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	% of Assembly covered by Ref	0.9664	haplotype1	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	NG75	101150053	haplotype1	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	NG50	137904320	haplotype1	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	NGA50	3281239	haplotype1	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	Average Ungapped Alignment length	4167916	haplotype1	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	Number of Breaks in Assembly	12532	haplotype1	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	Assembly Length	3028541959	haplotype2	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	% of Ref covered by Assembly	0.9361	haplotype2	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	% of Ref duplicated in Assembly	0.00819999999999999	haplotype2	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	% of Assembly covered by Ref	0.9718	haplotype2	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	NG75	103627408	haplotype2	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	NG50	145923310	haplotype2	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	NGA50	3562253	haplotype2	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	Average Ungapped Alignment length	4482112	haplotype2	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	Number of Breaks in Assembly	13179	haplotype2	phased_verkko	asmstat	NA
3	0	TUE_02	TUE_02_03UL	Variants	5095873	both	phased_verkko	whatshap_stats	ALL
3	0	TUE_02	TUE_02_03UL	Variants Phased	3520818	both	phased_verkko	whatshap_stats	ALL
3	0	TUE_02	TUE_02_03UL	Variants Unphased	46751	both	phased_verkko	whatshap_stats	ALL
3	0	TUE_02	TUE_02_03UL	singletons	0	both	phased_verkko	whatshap_stats	ALL
3	0	TUE_02	TUE_02_03UL	Phase Blocks	23	both	phased_verkko	whatshap_stats	ALL
3	0	TUE_02	TUE_02_03UL	Quality Value	58.4839	assembly	unphased_verkko	merqury	NA
3	0	TUE_02	TUE_02_03UL	Error Rate	1.41779e-6	assembly	unphased_verkko	merqury	NA
3	0	TUE_02	TUE_02_03UL	Quality Value	63.7623	haplotype1	phased_verkko	merqury	NA
3	0	TUE_02	TUE_02_03UL	Error Rate	4.20505e-7	haplotype1	phased_verkko	merqury	NA
3	0	TUE_02	TUE_02_03UL	Quality Value	63.362	haplotype2	phased_verkko	merqury	NA
3	0	TUE_02	TUE_02_03UL	Error Rate	4.61104e-7	haplotype2	phased_verkko	merqury	NA
3	0	TUE_02	TUE_02_03UL	Quality Value	63.5544	both	phased_verkko	merqury	NA
3	0	TUE_02	TUE_02_03UL	Error Rate	4.41125e-7	both	phased_verkko	merqury	NA
3	0	TUE_02	TUE_02_03UL	Number of T2T chromosomes	0	both	unphased_verkko	t2t_alignment	NA
3	0	TUE_02	TUE_02_03UL	Number of T2T chromosomes	38	both	phased_verkko	t2t_alignment	NA
3	0	TUE_02	TUE_02_03UL	Number of T2T chromosomes	20	haplotype1	phased_verkko	t2t_alignment	NA
3	0	TUE_02	TUE_02_03UL	Number of T2T chromosomes	18	haplotype2	phased_verkko	t2t_alignment	NA
3	0	TUE_02	TUE_02_03UL	Number of Y Chromosomes	1	both	unphased_verkko	sex_determination	NA
3	0	TUE_02	TUE_02_03UL	Number of Y Chromosomes	1	both	phased_verkko	sex_determination	NA
4	0	TUE_02	TUE_02_04UL	Assembly Length	6131355245	both	unphased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Ref covered by Assembly	0.962	both	unphased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Ref duplicated in Assembly	0.9165	both	unphased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Assembly covered by Ref	0.9703	both	unphased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NG75	22234576	both	unphased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NG50	31130254	both	unphased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NGA50	5117878	both	unphased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Average Ungapped Alignment length	5848632	both	unphased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Number of Breaks in Assembly	26409	both	unphased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Assembly Length	6031942489	both	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Ref covered by Assembly	0.9616	both	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Ref duplicated in Assembly	0.9181	both	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Assembly covered by Ref	0.9693	both	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NG75	172013011	both	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NG50	192038242	both	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NGA50	6395882	both	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Average Ungapped Alignment length	7196937	both	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Number of Breaks in Assembly	26109	both	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Assembly Length	2930290900	haplotype1	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Ref covered by Assembly	0.8989	haplotype1	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Ref duplicated in Assembly	0.00819999999999999	haplotype1	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Assembly covered by Ref	0.9639	haplotype1	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NG75	101384248	haplotype1	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NG50	138860432	haplotype1	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NGA50	3288891	haplotype1	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Average Ungapped Alignment length	4194994	haplotype1	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Number of Breaks in Assembly	13655	haplotype1	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Assembly Length	3028053290	haplotype2	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Ref covered by Assembly	0.9373	haplotype2	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Ref duplicated in Assembly	0.0092	haplotype2	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	% of Assembly covered by Ref	0.9743	haplotype2	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NG75	107694806	haplotype2	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NG50	145924097	haplotype2	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	NGA50	3545429	haplotype2	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Average Ungapped Alignment length	4469591	haplotype2	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Number of Breaks in Assembly	11604	haplotype2	phased_verkko	asmstat	NA
4	0	TUE_02	TUE_02_04UL	Variants	5092771	both	phased_verkko	whatshap_stats	ALL
4	0	TUE_02	TUE_02_04UL	Variants Phased	3519750	both	phased_verkko	whatshap_stats	ALL
4	0	TUE_02	TUE_02_04UL	Variants Unphased	50496	both	phased_verkko	whatshap_stats	ALL
