metric	value	haplotype	asm_method	asm_name	source	chromosome
length	3038129021	haplotype2	phased_verkko	T2T16	asmstat	NA
ref_covered	0.9389	haplotype2	phased_verkko	T2T16	asmstat	NA
asm_covered	0.974	haplotype2	phased_verkko	T2T16	asmstat	NA
length	6098080956	both	phased_verkko	T2T16	asmstat	NA
ref_covered	0.9475	both	phased_verkko	T2T16	asmstat	NA
asm_covered	0.9738	both	phased_verkko	T2T16	asmstat	NA
length	2929704668	haplotype1	phased_verkko	T2T17	asmstat	NA
ref_covered	0.9027	haplotype1	phased_verkko	T2T17	asmstat	NA
asm_covered	0.9698	haplotype1	phased_verkko	T2T17	asmstat	NA
length	3015556685	haplotype2	phased_verkko	T2T17	asmstat	NA
ref_covered	0.9336	haplotype2	phased_verkko	T2T17	asmstat	NA
asm_covered	0.9741	haplotype2	phased_verkko	T2T17	asmstat	NA
length	6016046136	both	phased_verkko	T2T17	asmstat	NA
ref_covered	0.963	both	phased_verkko	T2T17	asmstat	NA
asm_covered	0.9704	both	phased_verkko	T2T17	asmstat	NA
length	2937364534	haplotype1	phased_verkko	T2T18	asmstat	NA
ref_covered	0.9065	haplotype1	phased_verkko	T2T18	asmstat	NA
asm_covered	0.9687	haplotype1	phased_verkko	T2T18	asmstat	NA
length	3031914289	haplotype2	phased_verkko	T2T18	asmstat	NA
ref_covered	0.9398	haplotype2	phased_verkko	T2T18	asmstat	NA
asm_covered	0.9716	haplotype2	phased_verkko	T2T18	asmstat	NA
length	6032554172	both	phased_verkko	T2T18	asmstat	NA
ref_covered	0.9654	both	phased_verkko	T2T18	asmstat	NA
asm_covered	0.9698	both	phased_verkko	T2T18	asmstat	NA
length	2928088673	haplotype1	phased_verkko	T2T19	asmstat	NA
ref_covered	0.8983	haplotype1	phased_verkko	T2T19	asmstat	NA
asm_covered	0.9659	haplotype1	phased_verkko	T2T19	asmstat	NA
length	3011699430	haplotype2	phased_verkko	T2T19	asmstat	NA
ref_covered	0.9323	haplotype2	phased_verkko	T2T19	asmstat	NA
asm_covered	0.9724	haplotype2	phased_verkko	T2T19	asmstat	NA
